STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
ANDHRA PRADESH,ADILABAD,2001,101,60,50,0,50,46,30,16,16,149,34,175,0
ANDHRA PRADESH,ANANTAPUR,2001,151,125,23,0,23,53,30,23,7,118,24,154,0
ANDHRA PRADESH,CHITTOOR,2001,101,57,27,0,27,59,34,25,14,112,83,186,0
ANDHRA PRADESH,CUDDAPAH,2001,80,53,20,0,20,25,20,5,17,126,38,57,0
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,23,0,23,49,26,23,12,109,58,247,0
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0,0,0,0,0,0,0,1,0,0,0
ANDHRA PRADESH,GUNTUR,2001,182,88,54,0,54,82,51,31,7,139,129,378,0
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,37,0,37,80,39,41,24,118,27,746,0
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,56,0,56,67,49,18,62,414,81,224,0
ANDHRA PRADESH,KHAMMAM,2001,93,60,47,0,47,41,30,11,17,180,336,172,0
ANDHRA PRADESH,KRISHNA,2001,65,51,37,0,37,36,21,15,10,208,72,265,0
ANDHRA PRADESH,KURNOOL,2001,133,72,29,0,29,47,47,0,13,141,107,92,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,59,0,59,42,27,15,14,176,41,69,0
ANDHRA PRADESH,MEDAK,2001,101,56,35,0,35,26,20,6,26,100,25,192,0
ANDHRA PRADESH,NALGONDA,2001,122,60,35,0,35,27,19,8,31,188,59,214,0
ANDHRA PRADESH,NELLORE,2001,89,69,46,0,46,90,80,10,10,207,228,287,0
ANDHRA PRADESH,NIZAMABAD,2001,106,49,21,0,21,38,21,17,19,55,15,228,0
ANDHRA PRADESH,PRAKASHAM,2001,102,82,19,0,19,31,12,19,5,140,100,119,0
ANDHRA PRADESH,RANGA REDDY,2001,214,95,72,0,72,106,83,23,37,113,55,421,7
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,0,0,0,0,1,0,1,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,8,0,8,12,12,0,6,38,47,108,0
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,25,0,25,70,48,22,2,84,122,520,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,1,0,1,0,0,0,0,1,1,0,0
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,12,0,12,12,12,0,3,67,48,99,0
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,13,0,13,13,6,7,0,33,462,204,0
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,8,0,8,8,2,6,0,40,22,121,0
ANDHRA PRADESH,WARANGAL,2001,158,79,53,0,53,81,25,56,52,241,0,165,0
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,61,0,61,41,21,20,15,246,56,348,0
ANDHRA PRADESH,TOTAL,2001,2602,1555,871,0,871,1182,765,417,420,3544,2271,5791,7
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,1,0,1,3,2,1,0,3,0,0,0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5,2,0,2,4,4,0,0,4,0,2,0
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1,2,0,2,7,5,2,0,5,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2,0,0,0,2,2,0,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2001,16,6,2,0,2,6,6,0,0,8,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,2001,11,8,9,0,9,15,5,10,0,6,0,3,0
ARUNACHAL PRADESH,SIANG EAST,2001,7,0,5,0,5,11,7,4,0,7,0,2,0
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1,2,0,2,5,5,0,0,3,0,0,0
ARUNACHAL PRADESH,SIANG WEST,2001,5,14,4,0,4,17,10,7,0,25,2,2,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10,2,0,2,6,5,1,0,4,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0,2,0,2,1,1,0,0,8,0,2,0
ARUNACHAL PRADESH,TAWANG,2001,2,0,1,0,1,0,0,0,0,5,1,0,0
ARUNACHAL PRADESH,TIRAP,2001,8,4,1,0,1,6,3,3,0,0,0,0,0
ARUNACHAL PRADESH,TOTAL,2001,83,53,33,0,33,83,55,28,0,78,3,11,0
ASSAM,BARPETA,2001,64,5,28,0,28,105,88,17,10,29,0,95,0
ASSAM,BONGAIGAON,2001,45,22,20,0,20,36,21,15,1,22,0,26,0
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,CACHAR,2001,52,30,45,0,45,104,74,30,7,80,0,216,0
ASSAM,DARRANG,2001,61,13,48,0,48,64,47,17,9,56,0,37,0
ASSAM,DHEMAJI,2001,15,16,42,0,42,31,20,11,0,26,0,0,0
ASSAM,DHUBRI,2001,65,23,43,0,43,69,51,18,5,49,0,111,0
ASSAM,DIBRUGARH,2001,110,22,35,0,35,57,37,20,3,41,0,19,0
ASSAM,G.R.P.,2001,13,1,1,0,1,3,0,3,0,0,0,0,0
ASSAM,GOALPARA,2001,28,12,35,0,35,43,35,8,1,54,0,64,0
ASSAM,GOLAGHAT,2001,53,2,30,0,30,44,40,4,0,23,0,26,0
ASSAM,GUWAHATI CITY,2001,71,44,37,0,37,129,64,65,5,67,0,98,0
ASSAM,HAILAKANDI,2001,18,4,24,0,24,36,34,2,2,27,0,28,0
ASSAM,JORHAT,2001,40,22,42,0,42,37,28,9,2,44,0,48,0
ASSAM,KAMRUP,2001,37,30,21,0,21,95,65,30,2,42,0,27,0
ASSAM,KARBI ANGLONG,2001,65,26,5,0,5,38,15,23,4,5,0,8,0
ASSAM,KARIMGANJ,2001,32,20,33,0,33,42,8,34,1,9,0,30,0
ASSAM,KOKRAJHAR,2001,87,27,14,0,14,41,12,29,0,37,0,20,0
ASSAM,LAKHIMPUR,2001,26,21,64,0,64,72,62,10,0,22,0,93,0
ASSAM,MORIGAON,2001,20,9,23,0,23,39,37,2,0,6,0,28,0
ASSAM,N.C.HILLS,2001,17,8,2,0,2,8,4,4,0,2,0,7,0
ASSAM,NAGAON,2001,95,22,51,0,51,119,109,10,1,113,4,132,0
ASSAM,NALBARI,2001,79,36,30,0,30,53,27,26,3,16,0,15,0
ASSAM,R.P.O.,2001,11,0,3,0,3,2,0,2,0,0,0,0,0
ASSAM,SIBSAGAR,2001,59,24,47,0,47,64,64,0,0,28,0,0,0
ASSAM,SONITPUR,2001,86,25,53,0,53,87,80,7,1,43,0,99,0
ASSAM,TINSUKIA,2001,107,17,41,0,41,62,48,14,2,9,0,21,0
ASSAM,TOTAL,2001,1356,481,817,0,817,1480,1070,410,59,850,4,1248,0
BIHAR,ARARIA,2001,47,27,93,0,93,79,13,66,11,3,0,50,0
BIHAR,ARWAL,2001,37,64,0,0,0,13,0,13,7,11,0,14,0
BIHAR,AURANGABAD,2001,74,46,16,0,16,24,4,20,33,13,2,19,0
BIHAR,BAGAHA,2001,34,67,25,0,25,56,6,50,0,4,0,2,0
BIHAR,BANKA,2001,93,16,34,0,34,27,10,17,9,0,0,16,0
BIHAR,BEGUSARAI,2001,124,77,13,0,13,53,7,46,21,32,0,21,0
BIHAR,BETTIAH,2001,66,9,20,0,20,84,23,61,17,23,0,54,8
BIHAR,BHABHUA,2001,41,25,10,0,10,43,12,31,8,7,0,22,0
BIHAR,BHAGALPUR,2001,128,73,35,0,35,66,9,57,20,15,0,52,0
BIHAR,BHOJPUR,2001,135,33,22,0,22,46,13,33,23,0,4,29,0
BIHAR,BUXAR,2001,56,38,8,0,8,34,1,33,15,0,0,0,0
BIHAR,DARBHANGA,2001,53,64,19,0,19,39,16,23,37,40,0,34,0
BIHAR,GAYA,2001,200,170,25,0,25,66,15,51,26,27,0,24,0
BIHAR,GOPALGANJ,2001,107,92,13,0,13,59,18,41,22,0,2,155,0
BIHAR,JAMALPUR RLY.,2001,7,0,1,0,1,4,0,4,0,1,0,1,0
BIHAR,JAMUI,2001,67,74,10,0,10,14,1,13,16,8,0,15,0
BIHAR,JEHANABAD,2001,73,80,6,0,6,35,5,30,25,0,0,4,0
BIHAR,KATIHAR,2001,60,47,51,0,51,49,20,29,6,6,0,29,0
BIHAR,KATIHAR RLY.,2001,7,0,0,0,0,3,1,2,0,2,0,0,0
BIHAR,KHAGARIA,2001,72,27,5,0,5,34,6,28,11,6,0,2,0
BIHAR,KISHANGANJ,2001,25,15,22,0,22,23,16,7,4,2,1,39,0
BIHAR,LAKHISARAI,2001,61,44,10,0,10,30,7,23,6,12,0,5,0
BIHAR,MADHEPURA,2001,56,23,11,0,11,49,15,34,6,3,0,10,0
BIHAR,MADHUBANI,2001,35,65,13,0,13,36,11,25,12,41,0,18,0
BIHAR,MOTIHARI,2001,114,98,44,0,44,100,35,65,37,3,1,47,0
BIHAR,MUNGER,2001,51,108,11,0,11,45,15,30,8,0,0,39,0
BIHAR,MUZAFFARPUR,2001,153,162,73,0,73,113,25,88,69,81,0,141,6
BIHAR,MUZAFFARPUR RLY.,2001,13,3,2,0,2,5,1,4,0,4,0,1,0
BIHAR,NALANDA,2001,208,249,40,0,40,126,12,114,47,14,2,54,0
BIHAR,NAUGACHIA,2001,36,65,7,0,7,29,9,20,4,0,0,5,0
BIHAR,NAWADAH,2001,77,54,15,0,15,42,1,41,17,7,0,13,1
BIHAR,PATNA,2001,434,581,27,0,27,197,11,186,90,47,0,152,39
BIHAR,PATNA RLY.,2001,24,21,1,0,1,3,1,2,0,9,0,0,0
BIHAR,PURNEA,2001,104,89,39,0,39,64,23,41,8,5,0,22,0
BIHAR,ROHTAS,2001,127,112,25,0,25,72,18,54,36,21,0,59,0
BIHAR,SAHARSA,2001,36,151,12,0,12,27,10,17,7,9,0,12,0
BIHAR,SAMASTIPUR,2001,107,115,19,0,19,75,29,46,11,17,9,35,29
BIHAR,SARAN,2001,137,70,20,0,20,65,15,50,67,22,0,101,0
BIHAR,SHEIKHPURA,2001,28,1,3,0,3,16,1,15,9,0,0,32,0
BIHAR,SHEOHAR,2001,18,0,11,0,11,13,7,6,3,0,0,2,0
BIHAR,SITAMARHI,2001,51,5,23,0,23,34,20,14,13,1,0,21,0
BIHAR,SIWAN,2001,116,150,4,0,4,51,26,25,32,6,0,10,0
BIHAR,SUPAUL,2001,41,61,30,0,30,26,2,24,7,8,0,18,0
BIHAR,VAISHALI,2001,110,148,20,0,20,90,28,62,59,52,0,179,0
BIHAR,TOTAL,2001,3643,3419,888,0,888,2159,518,1641,859,562,21,1558,83
CHHATTISGARH,BALRAMPUR,2001,13,2,17,0,17,1,1,0,1,18,0,7,0
CHHATTISGARH,BILASPUR,2001,99,42,69,0,69,20,20,0,7,180,10,94,0
CHHATTISGARH,BIZAPUR,2001,9,13,4,0,4,0,0,0,0,1,0,0,0
CHHATTISGARH,DANTEWARA,2001,83,37,19,0,19,11,8,3,1,18,1,3,0
CHHATTISGARH,DHAMTARI,2001,14,6,22,0,22,4,4,0,1,41,5,6,0
CHHATTISGARH,DURG,2001,76,66,144,0,144,57,42,15,12,287,38,231,0
CHHATTISGARH,GRP RAIPUR,2001,2,1,0,0,0,0,0,0,0,4,0,1,0
CHHATTISGARH,JAGDALPUR,2001,80,35,59,0,59,6,4,2,3,49,2,14,0
CHHATTISGARH,JANJGIR,2001,48,29,29,0,29,9,6,3,9,110,13,116,0
CHHATTISGARH,JASHPUR,2001,37,16,36,0,36,2,2,0,2,41,1,4,0
CHHATTISGARH,KANKER,2001,31,17,42,0,42,4,4,0,1,36,3,10,0
CHHATTISGARH,KAWARDHA,2001,19,12,35,0,35,1,0,1,1,45,4,15,0
CHHATTISGARH,KORBA,2001,33,13,46,0,46,13,13,0,1,90,7,31,0
CHHATTISGARH,KORIYA,2001,35,25,34,0,34,7,7,0,3,102,2,31,0
CHHATTISGARH,MAHASAMUND,2001,18,20,43,0,43,7,7,0,6,69,6,21,0
CHHATTISGARH,RAIGARH,2001,50,24,53,0,53,6,6,0,2,104,5,22,0
CHHATTISGARH,RAIPUR,2001,92,102,104,0,104,38,28,10,16,253,42,121,0
CHHATTISGARH,RAJNANDGAON,2001,36,27,58,0,58,4,3,1,3,92,12,51,0
CHHATTISGARH,SARGUJA,2001,105,42,145,0,145,17,16,1,1,223,10,62,0
CHHATTISGARH,TOTAL,2001,880,529,959,0,959,207,171,36,70,1763,161,840,0
GOA,NORTH GOA,2001,22,16,4,0,4,4,1,3,2,12,2,6,0
GOA,SOUTH GOA,2001,14,14,8,0,8,5,5,0,0,5,5,5,0
GOA,TOTAL,2001,36,30,12,0,12,9,6,3,2,17,7,11,0
GUJARAT,AHMEDABAD COMMR.,2001,90,58,39,0,39,143,117,26,7,54,27,530,0
GUJARAT,AHMEDABAD RURAL,2001,26,17,5,0,5,27,27,0,0,26,0,84,0
GUJARAT,AHWA-DANG,2001,6,0,1,0,1,2,1,1,0,2,0,2,0
GUJARAT,AMRELI,2001,41,11,2,0,2,39,34,5,2,21,0,94,0
GUJARAT,ANAND,2001,28,16,3,0,3,30,28,2,0,27,3,210,0
GUJARAT,BHARUCH,2001,37,14,4,0,4,39,34,5,0,19,0,56,0
GUJARAT,BHAVNAGAR,2001,64,28,9,0,9,60,51,9,2,36,7,129,0
GUJARAT,DAHOD,2001,36,8,5,0,5,15,15,0,0,17,0,11,0
GUJARAT,GANDHINAGAR,2001,25,11,4,0,4,15,12,3,3,37,7,116,0
GUJARAT,HIMATNAGAR,2001,55,9,17,0,17,31,29,2,4,51,0,165,0
GUJARAT,JAMNAGAR,2001,48,27,20,0,20,27,22,5,2,18,2,163,0
GUJARAT,JUNAGADH,2001,56,37,14,0,14,46,39,7,11,44,8,384,0
GUJARAT,KHEDA NORTH,2001,42,5,11,0,11,30,30,0,0,43,0,122,0
GUJARAT,KUTCH,2001,34,29,2,0,2,24,22,2,2,25,1,176,0
GUJARAT,MEHSANA,2001,28,17,4,0,4,58,49,9,5,47,1,188,0
GUJARAT,NARMADA,2001,16,3,8,0,8,9,8,1,0,7,1,9,0
GUJARAT,NAVSARI,2001,26,6,2,0,2,6,5,1,0,6,0,17,0
GUJARAT,PALANPUR,2001,52,45,18,0,18,41,35,6,2,50,2,152,0
GUJARAT,PANCHMAHAL,2001,56,13,5,0,5,46,46,0,0,1,23,43,0
GUJARAT,PATAN,2001,24,18,3,0,3,21,21,0,0,23,0,78,0
GUJARAT,PORBANDAR,2001,15,9,6,0,6,5,5,0,0,10,0,64,0
GUJARAT,RAJKOT COMMR.,2001,29,33,5,0,5,46,38,8,3,19,12,199,0
GUJARAT,RAJKOT RURAL,2001,30,36,20,0,20,40,35,5,2,45,3,206,0
GUJARAT,SURAT COMMR.,2001,98,19,11,0,11,57,37,20,20,10,1,132,0
GUJARAT,SURAT RURAL,2001,62,8,26,0,26,23,16,7,0,11,0,34,0
GUJARAT,SURENDRANAGAR,2001,38,17,11,0,11,29,24,5,2,45,3,75,0
GUJARAT,VADODARA COMMR.,2001,34,14,3,0,3,35,32,3,0,11,10,90,0
GUJARAT,VADODARA RURAL,2001,71,13,18,0,18,38,34,4,0,34,0,81,0
GUJARAT,VALSAD,2001,44,8,9,0,9,16,11,5,0,10,0,50,0
GUJARAT,W.RLY,2001,15,8,1,0,1,0,0,0,0,7,0,7,0
GUJARAT,TOTAL,2001,1226,537,286,0,286,998,857,141,67,756,111,3667,0
HARYANA,AMBALA,2001,26,23,11,0,11,38,32,6,11,27,0,132,0
HARYANA,BHIWANI,2001,40,20,10,0,10,9,7,2,33,17,0,43,0
HARYANA,FARIDABAD,2001,68,38,37,0,37,78,53,25,19,47,242,108,0
HARYANA,FATEHABAD,2001,18,23,17,0,17,20,13,7,17,17,0,93,0
HARYANA,GRP,2001,24,3,0,0,0,2,2,0,5,1,26,0,0
HARYANA,GURGAON,2001,69,30,32,0,32,50,32,18,17,21,21,136,0
HARYANA,HISSAR,2001,45,53,10,0,10,26,18,8,24,33,0,117,0
HARYANA,JHAJJAR,2001,48,28,21,0,21,14,8,6,20,42,13,122,0
HARYANA,JIND,2001,37,21,21,0,21,12,8,4,11,22,29,67,0
HARYANA,KAITHAL,2001,33,15,16,0,16,9,8,1,9,19,0,105,0
HARYANA,KARNAL,2001,42,24,44,0,44,31,10,21,18,28,2,97,0
HARYANA,KURUKSHETRA,2001,20,8,31,0,31,14,14,0,10,28,8,68,0
HARYANA,MAHENDRAGARH,2001,26,10,11,0,11,13,8,5,8,19,0,23,0
HARYANA,PANCHKULA,2001,12,7,6,0,6,18,15,3,4,23,10,43,0
HARYANA,PANIPAT,2001,43,26,38,0,38,19,10,9,11,16,11,92,0
HARYANA,REWARI,2001,21,13,11,0,11,13,11,2,12,17,0,14,0
HARYANA,ROHTAK,2001,57,29,28,0,28,13,6,7,17,26,20,41,0
HARYANA,SIRSA,2001,37,33,17,0,17,18,7,11,12,23,0,98,0
HARYANA,SONIPAT,2001,73,49,15,0,15,26,12,14,18,22,14,51,0
HARYANA,YAMUNANAGAR,2001,42,14,22,0,22,26,23,3,9,30,5,63,0
HARYANA,TOTAL,2001,781,467,398,0,398,449,297,152,285,478,401,1513,0
HIMACHAL PRADESH,BILASPUR,2001,8,10,5,0,5,10,9,1,1,35,1,47,0
HIMACHAL PRADESH,CHAMBA,2001,13,3,12,0,12,17,15,2,0,23,1,21,0
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2001,2,5,3,0,3,3,3,0,1,17,2,33,0
HIMACHAL PRADESH,KANGRA,2001,24,16,18,0,18,30,21,9,1,43,0,58,0
HIMACHAL PRADESH,KINNAUR,2001,5,0,6,0,6,3,3,0,0,4,0,2,0
HIMACHAL PRADESH,KULLU,2001,13,1,13,0,13,7,6,1,0,12,0,2,0
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,0,2,0,2,1,1,0,0,0,0,1,0
HIMACHAL PRADESH,MANDI,2001,18,8,16,0,16,11,10,1,0,59,4,56,0
HIMACHAL PRADESH,SHIMLA,2001,14,13,18,0,18,13,11,2,2,50,1,31,0
HIMACHAL PRADESH,SIRMAUR,2001,3,5,10,0,10,13,11,2,3,33,4,22,0
HIMACHAL PRADESH,SOLAN,2001,11,8,12,0,12,13,10,3,2,23,1,24,0
HIMACHAL PRADESH,UNA,2001,6,6,9,0,9,5,5,0,0,11,0,20,0
HIMACHAL PRADESH,TOTAL,2001,119,75,124,0,124,126,105,21,10,310,14,317,0
JAMMU & KASHMIR,ANANTNAG,2001,74,41,6,0,6,59,36,23,0,53,12,0,0
JAMMU & KASHMIR,AWANTIPORA,2001,25,3,1,0,1,14,13,1,0,8,2,0,0
JAMMU & KASHMIR,BARAMULLA,2001,144,155,28,0,28,75,59,16,0,93,14,0,0
JAMMU & KASHMIR,BORDER,2001,6,42,12,0,12,10,10,0,0,15,5,3,0
JAMMU & KASHMIR,BUDGAM,2001,78,103,7,0,7,40,34,6,0,35,9,0,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2001,104,147,7,0,7,15,15,0,0,6,2,1,0
JAMMU & KASHMIR,GANDERBAL,2001,24,8,5,0,5,33,31,2,0,30,4,0,0
JAMMU & KASHMIR,JAMMU,2001,27,82,13,0,13,43,43,0,5,40,94,26,0
JAMMU & KASHMIR,KARGIL,2001,0,0,0,0,0,2,1,1,0,1,0,0,0
JAMMU & KASHMIR,KATHUA,2001,16,28,13,0,13,11,10,1,3,14,4,1,0
JAMMU & KASHMIR,KULGAM,2001,39,16,6,0,6,35,31,4,0,7,11,0,0
JAMMU & KASHMIR,KUPWARA,2001,141,269,6,0,6,47,29,18,0,62,2,0,0
JAMMU & KASHMIR,LEH,2001,3,1,0,0,0,1,1,0,0,1,0,0,0
JAMMU & KASHMIR,POONCH,2001,100,189,13,0,13,16,10,6,0,4,6,2,0
JAMMU & KASHMIR,PULWAMA,2001,46,90,7,0,7,37,33,4,0,19,12,0,0
JAMMU & KASHMIR,RAILWAYS,2001,1,1,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2001,76,97,17,0,17,20,20,0,3,7,6,6,0
JAMMU & KASHMIR,RAMBAN,2001,51,50,3,0,3,7,3,4,0,3,2,0,0
JAMMU & KASHMIR,REASI,2001,36,75,7,0,7,11,9,2,0,5,4,0,0
JAMMU & KASHMIR,SRINAGAR,2001,63,49,8,0,8,115,102,13,0,207,88,2,0
JAMMU & KASHMIR,UDHAMPUR,2001,21,28,10,0,10,15,14,1,2,12,11,9,0
JAMMU & KASHMIR,TOTAL,2001,1075,1474,169,0,169,606,504,102,13,622,288,50,0
JHARKHAND,BOKARO,2001,70,75,26,0,26,38,32,6,25,24,2,45,0
JHARKHAND,CHAIBASA,2001,109,34,32,0,32,17,10,7,0,6,0,0,0
JHARKHAND,CHATRA,2001,40,10,6,0,6,10,3,7,7,0,0,6,0
JHARKHAND,DEOGHAR,2001,47,82,22,0,22,7,0,7,10,13,1,10,0
JHARKHAND,DHANBAD,2001,97,31,32,0,32,57,45,12,30,47,0,18,0
JHARKHAND,DHANBAD RLY.,2001,11,0,2,0,2,4,0,4,0,0,0,0,0
JHARKHAND,DUMKA,2001,63,32,27,0,27,24,0,24,3,20,0,23,0
JHARKHAND,GARHWA,2001,32,6,11,0,11,5,2,3,15,0,0,5,0
JHARKHAND,GIRIDIH,2001,63,65,42,0,42,15,10,5,30,13,0,57,0
JHARKHAND,GODDA,2001,61,0,37,0,37,30,26,4,1,0,0,0,0
JHARKHAND,GUMLA,2001,136,18,29,0,29,16,11,5,0,2,0,10,1
JHARKHAND,HAZARIBAGH,2001,76,35,41,0,41,42,31,11,31,15,0,18,0
JHARKHAND,JAMSHEDPUR,2001,81,190,50,0,50,60,51,9,6,58,0,88,0
JHARKHAND,JAMSHEDPUR RLY.,2001,4,0,1,0,1,0,0,0,0,1,0,0,0
JHARKHAND,JAMTARA,2001,22,30,18,0,18,14,11,3,5,13,0,20,0
JHARKHAND,KODERMA,2001,21,18,2,0,2,14,2,12,11,8,1,29,0
JHARKHAND,LATEHAR,2001,54,8,12,0,12,4,2,2,6,0,0,0,0
JHARKHAND,LOHARDAGGA,2001,33,4,12,0,12,14,8,6,0,4,0,10,0
JHARKHAND,PAKUR,2001,31,19,23,0,23,7,0,7,7,0,0,18,0
JHARKHAND,PALAMU,2001,73,52,15,0,15,14,2,12,18,8,0,28,1
JHARKHAND,RANCHI,2001,243,65,73,0,73,1,1,0,4,24,1,78,0
JHARKHAND,SAHEBGANJ,2001,47,34,20,0,20,17,5,12,3,23,0,21,0
JHARKHAND,SARAIKELA,2001,44,56,17,0,17,19,15,4,4,18,0,0,0
JHARKHAND,SIMDEGA,2001,49,2,17,0,17,12,12,0,1,0,0,0,0
JHARKHAND,TOTAL,2001,1507,866,567,0,567,441,279,162,217,297,5,484,2
KARNATAKA,BAGALKOT,2001,59,34,2,0,2,17,7,10,1,39,0,50,0
KARNATAKA,BANGALORE COMMR.,2001,221,327,40,0,40,152,56,96,40,223,51,229,0
KARNATAKA,BANGALORE RURAL,2001,137,86,13,0,13,37,10,27,30,90,0,123,0
KARNATAKA,BELGAUM,2001,120,55,8,0,8,27,12,15,4,62,0,125,0
KARNATAKA,BELLARY,2001,58,41,16,0,16,14,11,3,5,82,0,49,0
KARNATAKA,BIDAR,2001,48,58,7,0,7,19,10,9,2,90,3,51,0
KARNATAKA,BIJAPUR,2001,51,47,6,0,6,24,19,5,1,65,0,92,0
KARNATAKA,CHAMARAJNAGAR,2001,19,18,4,0,4,5,5,0,7,43,0,15,0
KARNATAKA,CHICKMAGALUR,2001,41,24,8,0,8,12,7,5,4,57,8,83,0
KARNATAKA,CHITRADURGA,2001,31,22,18,0,18,4,0,4,2,48,0,35,0
KARNATAKA,DAKSHIN KANNADA,2001,33,36,3,0,3,9,6,3,1,24,0,25,0
KARNATAKA,DAVANAGERE,2001,58,39,22,0,22,23,13,10,8,84,5,77,0
KARNATAKA,DHARWAD COMMR.,2001,16,24,4,0,4,8,4,4,2,3,0,24,0
KARNATAKA,DHARWAD RURAL,2001,25,10,3,0,3,3,2,1,3,8,0,8,0
KARNATAKA,GADAG,2001,22,17,2,0,2,4,2,2,3,10,0,18,0
KARNATAKA,GULBARGA,2001,95,83,20,0,20,35,21,14,6,143,1,104,0
KARNATAKA,HASSAN,2001,64,69,20,0,20,17,0,17,4,75,1,68,0
KARNATAKA,HAVERI,2001,24,17,3,0,3,12,11,1,5,42,0,32,0
KARNATAKA,K.G.F.,2001,20,22,1,0,1,12,7,5,4,12,0,20,0
KARNATAKA,KODAGU,2001,26,33,4,0,4,4,4,0,4,22,0,14,0
KARNATAKA,KOLAR,2001,69,72,17,0,17,21,18,3,18,42,0,39,0
KARNATAKA,KOPPAL,2001,23,33,6,0,6,12,12,0,5,40,1,23,0
KARNATAKA,MANDYA,2001,67,47,15,0,15,9,1,8,7,50,0,72,0
KARNATAKA,MYSORE COMMR.,2001,32,34,2,0,2,11,7,4,9,8,1,48,0
KARNATAKA,MYSORE RURAL,2001,53,58,12,0,12,14,4,10,6,79,2,51,0
KARNATAKA,RAICHUR,2001,33,38,12,0,12,11,5,6,1,63,4,52,0
KARNATAKA,RAILWAYS,2001,12,0,1,0,1,1,0,1,1,0,0,0,0
KARNATAKA,SHIMOGA,2001,56,48,12,0,12,14,10,4,6,65,0,134,0
KARNATAKA,TUMKUR,2001,80,55,6,0,6,21,4,17,28,53,0,44,0
KARNATAKA,UDUPI,2001,16,14,2,0,2,2,0,2,0,16,2,16,0
KARNATAKA,UTTAR KANNADA,2001,17,14,4,0,4,5,3,2,3,27,2,34,0
KARNATAKA,TOTAL,2001,1626,1475,293,0,293,559,271,288,220,1665,81,1755,0
KERALA,ALAPUZHA,2001,22,32,21,0,21,8,6,2,1,162,2,105,0
KERALA,CBCID,2001,22,7,2,0,2,2,0,2,0,0,0,4,0
KERALA,ERNAKULAM,2001,44,67,38,0,38,20,7,13,3,162,3,161,0
KERALA,IDUKKI,2001,33,30,34,0,34,0,0,0,0,145,16,127,0
KERALA,KANNUR,2001,26,58,42,0,42,12,7,5,0,77,7,157,0
KERALA,KASARGOD,2001,18,23,28,0,28,4,1,3,0,0,0,66,0
KERALA,KOLLAM,2001,41,65,55,0,55,16,9,7,3,235,0,315,0
KERALA,KOTTAYAM,2001,34,26,22,0,22,18,12,6,2,125,8,82,0
KERALA,KOZHIKODE,2001,34,35,39,0,39,12,10,2,2,118,8,319,0
KERALA,MALAPPURAM,2001,23,33,71,0,71,17,4,13,3,92,3,448,0
KERALA,PALAKKAD,2001,45,57,63,0,63,14,10,4,5,112,10,215,0
KERALA,PATHANAMTHITTA,2001,20,13,12,0,12,0,0,0,0,90,3,95,0
KERALA,RAILWAYS,2001,0,0,1,0,1,0,0,0,0,0,0,0,0
KERALA,THRISSUR,2001,42,79,42,0,42,18,9,9,2,223,16,198,0
KERALA,TRIVANDRUM,2001,53,79,57,0,57,41,21,20,6,345,2,210,0
